#;PROVINCIA ;MUNICIPIO;ZONAS ;PUESTO;MESAS ;VOTACION JR;VOTACION TOTAL 
1;ALTO MAGDALENA;AGUA DE DIOS ;0;CABECERA MUNICIPAL ;29;95;5458
2;GUALIVA ;ALBAN ;0;CABECERA MUNICIPAL ;16;79;2304
3;TEQUENDAMA ;ANAPOIMA ;0;CABECERA MUNICIPAL ;28;141;4038
4;TEQUENDAMA ;ANAPOIMA ;99;LA PAZ ;5;0;599
5;TEQUENDAMA ;ANAPOIMA ;99;SAN ANTONIO ;4;0;523
6;TEQUENDAMA ;ANOLAIMA;0;CABECERA MUNICIPAL ;27;0;3717
7;TEQUENDAMA ;ANOLAIMA;99;LA FLORIDA ;5;20;691
8;TEQUENDAMA ;ANOLAIMA;99;REVENTONES ;4;8;466
9;TEQUENDAMA ;APULO;0;CABECERA MUNICIPAL ;21;280;3361
10;SUMAPAZ;ARBELAEZ;0;CABECERA MUNICIPAL ;27;923;4963
11;MAGDALENA CENTRO ;BELTRAN;0;CABECERA MUNICIPAL ;3;17;420
12;MAGDALENA CENTRO ;BELTRAN;99;PAQUILO ;3;18;434
13;MAGDALENA CENTRO ;BELTRAN;99;PUERTO DE GRAMALOTA;1;5;173
14;MAGDALENA CENTRO ;BITUIMA;0;CABECERA MUNICIPAL ;8;156;1076
15;MAGDALENA CENTRO ;BITUIMA;99;LA PLAZUELA ;1;0;38
16;SABANA OCCIDENTE ;BOJACA;0;CABECERA MUNICIPAL ;20;178;3937
17;SUMAPAZ;CABRERA ;0;CABECERA MUNICIPAL ;11;698;1529
18;SUMAPAZ;CABRERA ;99;SALON COMUNAL ;1;10;34
19;TEQUENDAMA ;CACHIPAY;0;CABECERA MUNICIPAL ;25;65;3709
20;TEQUENDAMA ;CACHIPAY;99;PEÑA NEGRA;3;9;461
21;SABANA CENTRO ;CAJICA ;1;COLEGIO PABLO HERRERA ;18;90;3176
22;SABANA CENTRO ;CAJICA ;1;COLEGIO RINCON SANTO ;18;66;3057
23;SABANA CENTRO ;CAJICA ;1;ESCUELA EL MISTERIO ;16;57;2865
24;SABANA CENTRO ;CAJICA ;1;I.E.D CAPELLANIA ;5;17;902
25;SABANA CENTRO ;CAJICA ;2;CENTRO CULTURAL CAJICA ;35;154;6773
26;SABANA CENTRO ;CAJICA ;2;COLEGIO ANTONIO NARIÑO ;23;102;3936
27;SABANA CENTRO ;CAJICA ;2;COLISEO FORTALEZA DE PIEDRA;29;165;5603
28;SABANA CENTRO ;CAJICA ;2;SALON COMUNAL BARRIO GRANJITAS ;3;9;480
29;SABANA CENTRO ;CAJICA ;2;SALON COMUNAL LAS PALMAS ;13;54;2295
30;BAJO MAGDALENA ;CAPARRAPI;0;CABECERA MUNICIPAL ;18;425;2353
31;BAJO MAGDALENA ;CAPARRAPI;99;CECERES;1;3;21
32;BAJO MAGDALENA ;CAPARRAPI;99;CAMBRAS;1;13;59
33;BAJO MAGDALENA ;CAPARRAPI;99;CANCHIMAY;1;6;91
34;BAJO MAGDALENA ;CAPARRAPI;99;CORDOBA ;1;48;99
35;BAJO MAGDALENA ;CAPARRAPI;99;EL CAMBULO;2;40;167
36;BAJO MAGDALENA ;CAPARRAPI;99;EL DINDAL ;2;65;205
37;BAJO MAGDALENA ;CAPARRAPI;99;LA AZAUNCHA ;1;11;121
38;BAJO MAGDALENA ;CAPARRAPI;99;SAN CARLOS ;3;16;415
39;BAJO MAGDALENA ;CAPARRAPI;99;SAN PEDRO ;4;16;376
40;BAJO MAGDALENA ;CAPARRAPI;99;SAN RAMON ALTO ;1;27;162
41;BAJO MAGDALENA ;CAPARRAPI;99;TATI ;1;74;146
42;ORIENTE ;CAQUEZA ;0;COLISEO GERMAN ROJAS URREGO ;31;143;4917
43;ORIENTE ;CAQUEZA ;0;CONCENTRACION MARILANDA ;12;53;1828
44;UBATE;CARMEN DE CARUPA ;0;CABECERA MUNICIPAL ;16;114;2402
45;UBATE;CARMEN DE CARUPA ;99;HATO ;2;118;317
46;UBATE;CARMEN DE CARUPA ;99;SUCRE (CAPILLA DE SUCRE);1;3;76
47;MAGDALENA CENTRO ;CHAGUANI ;0;CABECERA MUNICIPAL ;12;341;1733
48;SABANA CENTRO ;CHIA ;1;COLEGIO MARIA AUXILIADORA ;23;67;3905
49;SABANA CENTRO ;CHIA ;1;COLEGIO NACIONAL DIVERSIFICADO ;33;96;5795
50;SABANA CENTRO ;CHIA ;1;COLEGIO STELLA MATUTINA ;22;90;4068
51;SABANA CENTRO ;CHIA ;1;IE JOSE ESCRIVA DE BALAGUER SEDE SAMARIA ;1;5;238
52;SABANA CENTRO ;CHIA ;1;INTS. EDUC. DIVERSIFICADA SANTA LUCIA ;25;97;4832
53;SABANA CENTRO ;CHIA ;1;INSTITUCION EDUCATIVA CERCA DE PIEDRA ;4;0;524
54;SABANA CENTRO ;CHIA ;1;INSTITUCION EDUCATIVA FONQUETA ;1;0;195
55;SABANA CENTRO ;CHIA ;1;VEREDA LA BALSA ;4;15;705
56;SABANA CENTRO ;CHIA ;2;CENTRO COMERCIAL FONTANAR ;9;36;2366
57;SABANA CENTRO ;CHIA ;2;COLISEO DE LA LUNA ;35;125;7041
58;SABANA CENTRO ;CHIA ;2;CONCHA ACUSTICA ;39;124;7600
59;SABANA CENTRO ;CHIA ;2;IE EL CERRO ;6;0;801
60;SABANA CENTRO ;CHIA ;2;IE JOSE ESCRIVA BALAGUER ;23;67;4075
61;SABANA CENTRO ;CHIA ;2;INTS. EDUCATIVA FAGUA SECTOR TIQUIZA ;5;0;735
62;SABANA CENTRO ;CHIA ;2;INSTITUCION EDUCATIVA DIOSA CHIA ;1;0;222
63;SABANA CENTRO ;CHIA ;2;UNIVERSIDAD DE CUNDINAMARCA ;27;0;4182
64;SABANA CENTRO ;CHIA ;90;INST. EDUC. LAURA VICUÑA ;20;126;6902
65;ORIENTE ;CHIPAQUE ;0;CABECERA MUNICIPAL ;23;262;3887
66;ORIENTE ;CHOACHI ;0;COLISEO POLIDEPORTIVO EL BOSQUE ;14;453;2382
67;ORIENTE ;CHOACHI ;0;IED IGNACIO PESCADOR ;18;530;2841
68;ORIENTE ;CHOACHI ;99;EL ALTO DEL PALO ;2;27;183
69;ORIENTE ;CHOACHI ;99;POTRERO GRANDE ;1;83;183
70;ALMEIDAS;CHOCONTA ;0;CABECERA MUNICIPAL ;46;408;7339
71;ALMEIDAS;CHOCONTA ;98;CARCEL ;1;1;19
72;SABANA CENTRO ;COGUA ;0;CABECERA MUNICIPAL ;45;433;7661
73;SABANA CENTRO ;COTA ;1;I.E.D PARDO PARRA SEDE BACHILLERATO ;25;460;4116
74;SABANA CENTRO ;COTA ;1;IE DEPARTAMENTAL CAMILO TORRES;23;364;4223
75;SABANA CENTRO ;COTA ;1;IE DEPARTAMENTAL PARCELAS ;9;163;1501
76;SABANA CENTRO ;COTA ;2;I.E LA MOYA ;13;216;1796
77;SABANA CENTRO ;COTA ;2;I.E PUEBLO VIEJO ;13;197;1919
78;UBATE;CUCUNUBA ;0;CABECERA MUNICIPAL ;13;277;1898
79;UBATE;CUCUNUBA ;99;PEÑAS;2;7;230
80;TEQUENDAMA ;EL COLEGIO;0;CABECERA MUNICIPAL ;50;448;7294
81;TEQUENDAMA ;EL COLEGIO;99;EL TRIUNFO ;4;0;561
82;TEQUENDAMA ;EL COLEGIO;99;LA VICTORIA ;6;26;995
83;TEQUENDAMA ;EL COLEGIO;99;PRADILLA ;4;103;554
84;RIONEGRO ;EL PEÑON ;0;CABECERA MUNICIPAL ;9;59;1362
85;RIONEGRO ;EL PEÑON ;99;GUAYABETAL DE TOLEDO ;2;12;233
86;RIONEGRO ;EL PEÑON ;99;TALAUTA ;3;34;472
87;SABANA OCCIDENTE ;EL ROSAL ;0;CABECERA MUNICIPAL ;51;102;9467
88;SABANA OCCIDENTE ;FACATATIVA ;1;CENTRO DE DESARROLLO SOCIAL ;16;43;2829
89;SABANA OCCIDENTE ;FACATATIVA ;1;COLEGIO DEPTAL CARTAGENITA ;25;88;4623
90;SABANA OCCIDENTE ;FACATATIVA ;1;COLEGIO JOHN F. KENNEDY;25;110;4944
91;SABANA OCCIDENTE ;FACATATIVA ;1;COLEGIO MANABLANCA ;10;24;1614
92;SABANA OCCIDENTE ;FACATATIVA ;1;COLEGIO SAN AGUSTIN ;17;56;2962
93;SABANA OCCIDENTE ;FACATATIVA ;1;COLEGIO SILVERIA ESPINOSA ;17;52;3079
94;SABANA OCCIDENTE ;FACATATIVA ;1;EL PORTAL DE TUS SUEÑOS ;6;19;1040
